line,example_index,turn_index,assistant_turn_index,case_type,prompt_tokens,completion_tokens,total_tokens
1,0,1,0,main_agent_next_turn,4590,84,4674
2,0,3,1,main_agent_next_turn,5079,728,5807
3,0,5,2,main_agent_next_turn,6983,829,7812
4,0,7,3,main_agent_next_turn,8582,738,9320
5,0,9,4,main_agent_next_turn,10455,470,10925
6,0,11,5,main_agent_next_turn,11816,526,12342
7,0,13,6,main_agent_next_turn,13395,860,14255
8,0,15,7,main_agent_next_turn,15048,590,15638
9,0,17,8,main_agent_next_turn,16439,695,17134
10,0,19,9,main_agent_next_turn,18235,707,18942
11,0,21,10,compact_summary,24038,2162,26200
12,1,1,0,compact_to_main_agent,5154,166,5320
13,1,3,1,main_agent_next_turn,6578,655,7233
14,1,5,2,main_agent_next_turn,7714,532,8246
15,1,7,3,main_agent_next_turn,10967,725,11692
16,1,9,4,main_agent_next_turn,12309,660,12969
17,1,11,5,main_agent_next_turn,13230,649,13879
18,1,13,6,main_agent_next_turn,21540,1811,23351
19,1,15,7,compact_summary,23618,2148,25766
20,2,1,0,compact_to_main_agent,5140,94,5234
21,2,3,1,main_agent_next_turn,6814,104,6918
22,2,5,2,main_agent_next_turn,7714,541,8255
23,2,7,3,main_agent_next_turn,9106,771,9877
24,2,9,4,main_agent_next_turn,10627,665,11292
25,2,11,5,main_agent_next_turn,11459,741,12200
26,2,13,6,main_agent_next_turn,15761,575,16336
27,2,15,7,main_agent_next_turn,17187,78,17265
28,2,17,8,main_agent_next_turn,17952,466,18418
29,2,19,9,compact_summary,19360,2377,21737
30,3,1,0,compact_to_main_agent,5369,90,5459
31,3,3,1,main_agent_next_turn,7300,832,8132
32,3,5,2,main_agent_next_turn,14023,1202,15225
33,3,7,3,main_agent_next_turn,16208,375,16583
34,3,9,4,main_agent_next_turn,18168,886,19054
35,3,11,5,main_agent_next_turn,19107,872,19979
36,3,13,6,main_agent_next_turn,21323,223,21546
37,3,15,7,main_agent_next_turn,23014,1152,24166
38,3,17,8,main_agent_next_turn,25391,565,25956
39,3,19,9,compact_summary,27041,2965,30006
40,4,1,0,compact_to_main_agent,5957,91,6048
41,4,3,1,main_agent_next_turn,7720,790,8510
42,4,5,2,main_agent_next_turn,10425,107,10532
43,4,7,3,main_agent_next_turn,11687,926,12613
44,4,9,4,main_agent_next_turn,12730,871,13601
45,4,11,5,main_agent_next_turn,13703,900,14603
46,4,13,6,main_agent_next_turn,16080,509,16589
47,4,15,7,main_agent_next_turn,17767,122,17889
48,4,17,8,main_agent_next_turn,18022,298,18320
49,4,19,9,compact_summary,21247,2619,23866
50,5,1,0,compact_to_main_agent,5611,685,6296
51,5,3,1,main_agent_next_turn,8278,147,8425
52,5,5,2,main_agent_next_turn,10805,705,11510
53,5,7,3,main_agent_next_turn,12870,174,13044
54,5,9,4,main_agent_next_turn,17831,1506,19337
55,5,11,5,main_agent_next_turn,19390,91,19481
56,5,13,6,main_agent_next_turn,21001,1708,22709
57,5,15,7,main_agent_next_turn,22902,108,23010
58,5,17,8,compact_summary,24453,2469,26922
59,6,1,0,compact_to_main_agent,5461,260,5721
60,6,3,1,main_agent_next_turn,6294,77,6371
61,6,5,2,main_agent_next_turn,7430,117,7547
62,6,7,3,main_agent_next_turn,8061,412,8473
63,6,9,4,main_agent_next_turn,8946,79,9025
64,6,11,5,main_agent_next_turn,10338,112,10450
65,6,13,6,main_agent_next_turn,10583,194,10777
66,6,15,7,main_agent_next_turn,12406,128,12534
67,7,1,0,self_reflection_image,2539,90,2629
68,8,1,0,self_reflection_image,2539,82,2621
69,9,1,0,self_reflection_image,2539,101,2640
70,10,1,0,self_reflection_image,2539,106,2645
71,11,1,0,self_reflection_image,2539,97,2636
72,12,1,0,self_reflection_image,2539,86,2625
73,13,1,0,self_reflection_image,2539,108,2647
74,14,1,0,self_reflection_final,17818,522,18340
